,yearNm,hsnNm,prizenm,cnt
648,2019,桃園市,特獎,4
649,2019,雲林縣,雲端發票兩千元獎,98
650,2019,澎湖縣,三獎,13
651,2021,金門縣,六獎,30
652,2022,宜蘭縣,五獎,77
653,2019,基隆市,特獎,1
654,2021,屏東縣,雲端發票百萬元獎,1
655,2022,臺東縣,雲端發票五百元獎,90
656,2023,雲林縣,千萬特獎,1
657,2021,嘉義市,二獎,10
658,2021,宜蘭縣,四獎,77
659,2022,花蓮縣,特獎,3
660,2022,金門縣,三獎,17
661,2019,臺南市,千萬特獎,6
662,2022,花蓮縣,五獎,78
663,2021,臺東縣,雲端發票八百元獎,40
664,2022,花蓮縣,雲端發票兩千元獎,63
665,2023,高雄市,雲端發票兩千元獎,70
666,2019,苗栗縣,三獎,73
667,2019,新竹縣,頭獎,5
668,2020,基隆市,六獎,42
669,2020,臺中市,千萬特獎,3
670,2021,基隆市,特獎,2
671,2023,連江縣,五獎,8
672,2023,臺南市,雲端發票八百元獎,75
673,2021,金門縣,雲端發票百萬元獎,1
674,2022,桃園市,雲端發票兩千元獎,76
675,2022,桃園市,雲端發票百萬元獎,13
676,2022,連江縣,雲端發票八百元獎,22
677,2022,臺東縣,二獎,7
678,2023,臺東縣,四獎,28
679,2023,臺南市,雲端發票百萬元獎,5
680,2019,臺東縣,六獎,91
681,2020,彰化縣,五獎,156
682,2023,連江縣,雲端發票兩千元獎,5
683,2019,彰化縣,五獎,156
684,2021,高雄市,三獎,184
685,2021,雲林縣,二獎,28
686,2021,澎湖縣,雲端發票兩千元獎,24
687,2022,桃園市,五獎,78
688,2022,基隆市,雲端發票百萬元獎,3
689,2023,連江縣,雲端發票五百元獎,8
690,2023,臺北市,雲端發票五百元獎,26
691,2023,嘉義市,三獎,4
692,2019,高雄市,頭獎,18
693,2019,新北市,二獎,83
694,2019,臺南市,頭獎,17
695,2020,臺南市,千萬特獎,6
696,2022,雲林縣,三獎,91
697,2022,嘉義市,雲端發票八百元獎,12
698,2023,苗栗縣,六獎,36
699,2023,臺中市,特獎,1
700,2019,新北市,四獎,172
701,2023,高雄市,雲端發票百萬元獎,3
702,2023,新北市,頭獎,9
703,2019,屏東縣,雲端發票百萬元獎,1
704,2021,嘉義市,雲端發票五百元獎,12
705,2023,屏東縣,三獎,39
706,2019,彰化縣,雲端發票兩千元獎,139
707,2020,新竹縣,頭獎,3
708,2020,彰化縣,雲端發票百萬元獎,1
709,2020,臺中市,頭獎,25
710,2022,宜蘭縣,雲端發票兩千元獎,66
711,2022,屏東縣,六獎,189
712,2023,宜蘭縣,頭獎,2
